[
  ['bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, '6.png', 0, 0, 0, 0, 0, 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', '3.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 'colorstone.png', 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png', 0, 0, 0, 0, 0, 0, 'colorstone.png', 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 'greystone.png', 0, 0, 0, 0, 0, 0, '5.png', '4.png', '5.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 'greystone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 'greystone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['6.png', 0, 0, 0, '2.png', 0, 0, 0, 0, 0, 'greystone.png', 'greystone.png', '3.png', 'greystone.png', 'greystone.png', 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 'greystone.png', 0, 0, 0, 0, 0, 'colorstone.png', 0, 0, 0, 'colorstone.png', 0, 0, 0, 0, 0, 0, 0, 0, 'eagle.png'],
  ['bluestone.png', 0, 0, 0, 'greystone.png', 0, 0, 0, 0, 0, 'colorstone.png', 0, 0, 0, 'colorstone.png', 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 'greystone.png', 0, 0, 0, 0, 0, 'colorstone.png', 'colorstone.png', 'door.png', 'colorstone.png', 'colorstone.png', 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 'colorstone.png'],
  ['bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png', 'bluestone.png'],
]
